Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
AJMER,13,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,RAMCHANDRA CHOUDHARY,Indian National Congress,329991,Result Declared
ALWAR,8,BHUPENDER YADAV,Bharatiya Janata Party,LALIT YADAV,Indian National Congress,48282,Result Declared
AMBALA,1,VARUN CHAUDHRY,Indian National Congress,BANTO KATARIA,Bharatiya Janata Party,49036,Result Declared
ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,281794,Result Declared
ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559,Result Declared
ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766,Result Declared
ADILABAD,1,GODAM NAGESH,Bharatiya Janata Party,ATHRAM SUGUNA,Indian National Congress,90652,Result Declared
AGRA,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,SURESH CHAND KARDAM,Samajwadi Party,271294,Result Declared
AHMEDABAD EAST,7,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,461755,Result Declared
AHMEDABAD WEST,8,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,BHARAT YOGENDRA MAKWANA,Indian National Congress,286437,Result Declared
AHMEDNAGAR,37,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,28929,Result Declared
AKBARPUR,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,RAJARAM PAL,Samajwadi Party,44345,Result Declared
AKOLA,6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,ABHAY KASHINATH PATIL,Indian National Congress,40626,Result Declared
ALAPPUZHA,15,K. C VENUGOPAL,Indian National Congress,A. M ARIFF,Communist Party of India (Marxist),63513,Result Declared
ALATHUR,9,K.RADHAKRISHNAN,Communist Party of India (Marxist),RAMYA HARIDAS,Indian National Congress,20111,Result Declared
ALIGARH,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,BIJENDRA SINGH,Samajwadi Party,15647,Result Declared
ALIPURDUARS,2,MANOJ TIGGA,Bharatiya Janata Party,PRAKASH CHIK BARAIK,All India Trinamool Congress,75447,Result Declared
ALLAHABAD,52,UJJWAL RAMAN SINGH,Indian National Congress,NEERAJ TRIPATHI,Bharatiya Janata Party,58795,Result Declared
ALMORA,3,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,234097,Result Declared
AMALAPURAM (SC),7,G M HARISH (BALAYOGI),Telugu Desam,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,342196,Result Declared
AMBEDKAR NAGAR,55,LALJI VERMA,Samajwadi Party,RITESH PANDEY,Bharatiya Janata Party,137247,Result Declared
AMETHI,37,KISHORI LAL,Indian National Congress,SMRITI IRANI,Bharatiya Janata Party,167196,Result Declared
AMRAVATI,7,BALWANT BASWANT WANKHADE,Indian National Congress,NAVNEET RAVI RANA,Bharatiya Janata Party,19731,Result Declared
